"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","PREV. DAY 
 28-Nov-2024","1W AGO 
 22-Nov-2024","1M AGO 
 30-Oct-2024","1Y AGO 
 30-Nov-2023"
NIFTY 50,"24,131.10",0.91,"23,927.15","24,188.45","23,927.15","23,914.15","23,907.25","24,340.85","20,133.15"
NIFTY NEXT 50,"70,726.85",0.67,"70,366.30","70,977.20","70,207.35","70,254.25","68,016.85","70,268.35","48,020.40"
NIFTY 100,"25,053.95",0.88,"24,857.65","25,120.30","24,856.75","24,836.25","24,655.35","25,195.05","20,201.00"
NIFTY 200,"13,627.00",0.76,"13,536.00","13,662.30","13,535.50","13,524.75","13,390.80","13,688.70","10,887.35"
NIFTY 500,"22,687.00",0.77,"22,537.80","22,733.75","22,531.90","22,514.35","22,225.55","22,749.80","17,987.95"
NIFTY MIDCAP 50,"15,697.75",0.23,"15,670.40","15,746.30","15,632.65","15,661.85","15,353.70","15,647.50","12,200.60"
NIFTY MIDCAP 100,"56,392.65",0.16,"56,339.55","56,532.05","56,116.85","56,300.75","55,016.85","56,339.25","42,908.90"
NIFTY SMALLCAP 100,"18,650.95",0.75,"18,546.05","18,666.15","18,491.55","18,511.55","17,755.55","18,390.90","14,171.35"
INDIA VIX,14.43,-5.12,15.21,15.46,14.33,15.21,16.1,15.51,12.69
NIFTY MIDCAP 150,"20,906.65",0.32,"20,860.05","20,941.10","20,792.70","20,839.90","20,412.65","20,916.70","15,963.25"
NIFTY SMALLCAP 50,"8,984.95",0.95,"8,917.95","8,993.00","8,912.05","8,900.15","8,589.70","8,876.35","6,539.50"
NIFTY SMALLCAP 250,"17,716.45",0.79,"17,620.65","17,732.30","17,545.75","17,577.85","16,912.30","17,483.40","13,252.00"
NIFTY MIDSMALLCAP 400,"19,822.10",0.49,"19,754.90","19,836.90","19,684.05","19,725.25","19,196.45","19,733.05","15,022.00"
NIFTY500 MULTICAP 50:25:25,"15,919.00",0.72,"15,826.10","15,941.95","15,808.15","15,805.80","15,516.60","15,912.70","12,415.05"
NIFTY LARGEMIDCAP 250,"15,800.20",0.59,"15,721.10","15,833.80","15,706.65","15,706.75","15,487.30","15,848.15","12,389.80"
NIFTY MIDCAP SELECT,"12,619.50",0.52,"12,568.80","12,657.55","12,549.45","12,553.75","12,306.85","12,448.25","9,684.00"
NIFTY TOTAL MARKET,"12,803.95",0.77,"12,720.40","12,828.45","12,715.15","12,706.15","12,526.10","12,822.70","10,113.40"
NIFTY MICROCAP 250,"25,115.75",0.84,"24,982.40","25,135.60","24,789.90","24,906.30","23,716.30","24,332.80","17,888.25"
NIFTY BANK,"52,055.60",0.29,"51,984.15","52,170.90","51,759.45","51,906.85","51,135.40","51,807.50","44,481.75"
NIFTY AUTO,"23,368.55",1.01,"23,169.20","23,446.50","23,128.90","23,134.70","23,554.10","23,594.00","17,551.85"
NIFTY FINANCIAL SERVICES,"24,010.15",0.38,"23,968.15","24,035.45","23,853.50","23,919.60","23,623.75","24,037.40","20,054.65"
NIFTY FINANCIAL SERVICES 25/50,"25,768.45",0.3,"25,754.25","25,804.80","25,607.55","25,691.45","25,426.45","26,160.95","21,276.50"
NIFTY FMCG,"57,943.70",0.41,"57,475.95","58,120.45","57,475.95","57,706.05","56,956.45","59,748.90","53,013.80"
NIFTY IT,"43,146.25",0.41,"42,873.80","43,468.95","42,738.75","42,968.75","43,332.10","41,668.60","32,582.20"
NIFTY MEDIA,"1,996.80",1.45,"1,994.75","2,012.30","1,982.85","1,968.35","1,892.60","1,982.85","2,296.55"
NIFTY METAL,"9,034.00",0.77,"8,994.55","9,074.20","8,955.35","8,964.85","8,846.20","9,342.45","7,017.45"
NIFTY PHARMA,"22,240.20",2.35,"21,817.65","22,297.55","21,796.30","21,728.60","21,962.05","22,374.95","16,238.90"
NIFTY PSU BANK,"6,813.85",-0.48,"6,874.15","6,910.05","6,748.75","6,846.85","6,508.15","6,741.55","5,041.00"
NIFTY PRIVATE BANK,"25,327.95",0.37,"25,254.45","25,368.15","25,191.40","25,234.85","25,083.00","25,393.05","23,136.80"
NIFTY REALTY,"1,020.15",-0.51,"1,027.70","1,028.50","1,016.35","1,025.35","1,006.25","1,001.05",713.6
NIFTY HEALTHCARE INDEX,"14,127.05",2.04,"13,899.35","14,164.25","13,889.90","13,844.65","13,996.05","14,208.50","10,289.45"
NIFTY CONSUMER DURABLES,"40,172.90",0.97,"39,809.45","40,251.50","39,809.45","39,785.90","39,775.20","39,592.95","29,439.60"
NIFTY OIL & GAS,"11,103.75",1.25,"11,007.70","11,139.55","10,985.80","10,966.95","10,677.05","11,366.90","8,476.40"
NIFTY MIDSMALL HEALTHCARE,"42,096.50",1.89,"41,452.70","42,188.05","41,423.90","41,316.40","41,525.15","42,020.45",-
NIFTY DIVIDEND OPPORTUNITIES 50,"6,465.65",0.26,"6,445.00","6,486.15","6,433.35","6,449.10","6,397.45","6,507.70","4,902.70"
NIFTY GROWTH SECTORS 15,"11,901.10",0.95,"11,770.70","11,937.35","11,770.70","11,789.25","11,946.30","11,821.95","10,169.10"
